epoch,loss,reconstruction_loss,rvqvae_loss,val_loss,val_reconstruction_loss,val_rvqvae_loss
0,0.9830426573753357,0.9814741611480713,0.0015686509432271123,0.8692469596862793,0.8631167411804199,0.006130228750407696
1,0.8306434750556946,0.8066295981407166,0.024013852700591087,0.7161567211151123,0.670659065246582,0.0454975850880146
2,0.738582193851471,0.6822681427001953,0.05631405487656593,0.6683094501495361,0.5896555185317993,0.07865390181541443
3,0.6931602954864502,0.6095699667930603,0.08359026163816452,0.6282957792282104,0.5281851887702942,0.10011053085327148
4,0.6602444052696228,0.5578858852386475,0.10235854983329773,0.6193787455558777,0.4990583062171936,0.12032047659158707
5,0.6616741418838501,0.5330991148948669,0.12857502698898315,0.6373952031135559,0.4842170178890228,0.1531781703233719
6,0.6890332698822021,0.5190117955207825,0.17002135515213013,0.677320122718811,0.47732552886009216,0.19999463856220245
7,0.7329681515693665,0.5112529993057251,0.22171521186828613,0.7270022630691528,0.4713106155395508,0.2556915879249573
8,0.7865394949913025,0.5059079527854919,0.28063154220581055,0.7823076248168945,0.46635326743125916,0.3159543573856354
9,0.8413467407226562,0.5009944438934326,0.34035226702690125,0.8339330554008484,0.4620322287082672,0.3719008266925812
10,0.8836652636528015,0.49224215745925903,0.391422837972641,0.872174084186554,0.45419350266456604,0.4179805815219879
11,0.9233898520469666,0.48624494671821594,0.4371449649333954,0.9036604762077332,0.44710272550582886,0.4565577507019043
12,0.9557637572288513,0.4789988696575165,0.476764976978302,0.9291496276855469,0.4403034746646881,0.4888462424278259
13,0.9767926931381226,0.46976229548454285,0.5070305466651917,0.9478413462638855,0.4341808259487152,0.5136605501174927
14,0.9989189505577087,0.46431800723075867,0.5346008539199829,0.9597282409667969,0.4262615144252777,0.533466637134552
15,1.0072875022888184,0.4543556272983551,0.5529317855834961,0.9712978601455688,0.4205707013607025,0.5507271885871887
16,1.020406723022461,0.44854119420051575,0.5718653798103333,0.9797333478927612,0.4145413935184479,0.565191924571991
17,1.0242342948913574,0.43854019045829773,0.5856939554214478,0.9882053136825562,0.4091181755065918,0.5790871381759644
18,1.0273886919021606,0.43128472566604614,0.5961040258407593,0.9917109608650208,0.40335655212402344,0.5883544087409973
19,1.0413570404052734,0.42869147658348083,0.6126654148101807,0.9952496290206909,0.39754247665405273,0.5977072715759277
20,1.052864909172058,0.42398640513420105,0.6288784146308899,0.9987665414810181,0.3916448652744293,0.6071215867996216
21,1.0475564002990723,0.4142949879169464,0.6332614421844482,1.0006126165390015,0.38570478558540344,0.6149078607559204
22,1.0495139360427856,0.4085070490837097,0.6410070061683655,0.9973756670951843,0.3788670003414154,0.6185087561607361
23,1.04505455493927,0.4009787440299988,0.6440759301185608,0.9937846064567566,0.3716543912887573,0.6221302151679993
24,1.058074951171875,0.39938876032829285,0.6586862206459045,0.9928642511367798,0.3658803701400757,0.6269838213920593
25,1.0528582334518433,0.39260703325271606,0.6602509617805481,0.9916294813156128,0.3613022565841675,0.6303272843360901
26,1.0537594556808472,0.3864104449748993,0.667349100112915,0.990344226360321,0.35563522577285767,0.6347090005874634
27,1.0598467588424683,0.38264304399490356,0.6772035956382751,0.9877073168754578,0.350588858127594,0.6371184587478638
28,1.0560638904571533,0.3763695955276489,0.6796941161155701,0.9902130365371704,0.34775376319885254,0.6424592733383179
29,1.0467360019683838,0.3692006766796112,0.6775352954864502,0.97942715883255,0.3405270278453827,0.6389001607894897
30,1.044510006904602,0.3648294508457184,0.6796802282333374,0.9756568074226379,0.3359316885471344,0.6397250890731812
31,1.0435891151428223,0.36032310128211975,0.6832661032676697,0.9736543893814087,0.331371009349823,0.6422833204269409
32,1.0392769575119019,0.35416460037231445,0.6851122975349426,0.9724917411804199,0.32913827896118164,0.6433534026145935
33,1.0456911325454712,0.35227590799331665,0.6934151649475098,0.9685297012329102,0.3235026001930237,0.6450269818305969
34,1.0333069562911987,0.3442232608795166,0.6890836358070374,0.9636675715446472,0.31888920068740845,0.6447783708572388
35,1.037864089012146,0.34352633357048035,0.6943379044532776,0.9596840739250183,0.3165051341056824,0.6431789398193359
36,1.0280280113220215,0.33655911684036255,0.6914688944816589,0.9598106145858765,0.3133639693260193,0.6464467644691467
37,1.029586672782898,0.33361485600471497,0.695971667766571,0.9551206827163696,0.30814477801322937,0.6469758749008179
38,1.0272932052612305,0.3292527198791504,0.6980405449867249,0.9509191513061523,0.3043372631072998,0.646581768989563
39,1.0210398435592651,0.3245386779308319,0.696500837802887,0.9455229043960571,0.30115634202957153,0.6443665623664856
