epoch,loss,reconstruction_loss,rvqvae_loss,val_loss,val_reconstruction_loss,val_rvqvae_loss
0,29047.908203125,29047.90625,0.001098206383176148,22808.38671875,22808.384765625,0.00249083386734128
1,-15850.0185546875,-15850.0234375,0.005368869751691818,-51842.09765625,-51842.10546875,0.010131115093827248
2,-60073.61328125,-60073.625,0.01308473851531744,-72526.4453125,-72526.4609375,0.011615375056862831
3,-69024.7734375,-69024.7890625,0.017344709485769272,-29555.615234375,-29555.6328125,0.015478348359465599
4,-51765.19140625,-51765.21484375,0.01702617108821869,-73210.4296875,-73210.4375,0.011089136824011803
5,-76143.9609375,-76143.9765625,0.015327212400734425,-77204.9140625,-77204.9375,0.02127820812165737
6,-50035.55859375,-50035.5703125,0.02090432494878769,-30015.37109375,-30015.392578125,0.02044731192290783
7,-42052.48046875,-42052.5,0.01634919084608555,-64543.6484375,-64543.65625,0.012464573606848717
8,-78903.8359375,-78903.84375,0.011072413064539433,-87531.8046875,-87531.8203125,0.011201721616089344
9,-90428.8828125,-90428.8984375,0.0166749507188797,-91022.578125,-91022.59375,0.02315947413444519
10,-61827.5625,-61827.5859375,0.029202314093708992,-76960.078125,-76960.09375,0.022985972464084625
11,-84410.7109375,-84410.7421875,0.0191951896995306,-91309.21875,-91309.234375,0.01836574450135231
12,-94511.5078125,-94511.5234375,0.024405432865023613,-94720.2265625,-94720.2578125,0.030359739437699318
13,-83627.65625,-83627.7109375,0.034625496715307236,-100653.7109375,-100653.7265625,0.026604443788528442
14,-97550.375,-97550.3984375,0.025894971564412117,-99250.109375,-99250.140625,0.024746092036366463
15,-84108.8984375,-84108.953125,0.03229223191738129,-86889.09375,-86889.1171875,0.028187226504087448
16,-84530.3671875,-84530.3984375,0.022386353462934494,-96168.2109375,-96168.21875,0.017488140612840652
17,-98111.5078125,-98111.5234375,0.022325856611132622,-97956.765625,-97956.7890625,0.025972381234169006
18,-97212.40625,-97212.4296875,0.030223863199353218,-79303.71875,-79303.75,0.02975946106016636
19,-94654.7734375,-94654.8046875,0.030204109847545624,-104248.765625,-104248.7890625,0.025494005531072617
20,-91144.1484375,-91144.15625,0.032433804124593735,-82688.9765625,-82689.0078125,0.034046124666929245
21,-96168.2421875,-96168.2578125,0.02797633223235607,-104155.34375,-104155.359375,0.02600679360330105
22,-85359.8515625,-85359.8984375,0.03174595162272453,-46863.0078125,-46863.0390625,0.03583525866270065
23,-68114.53125,-68114.5546875,0.027360044419765472,-95184.09375,-95184.1171875,0.020602542906999588
24,-61473.046875,-61473.0625,0.024814648553729057,-51699.2265625,-51699.24609375,0.02098010666668415
25,-64435.50390625,-64435.51171875,0.01673339493572712,-80544.3046875,-80544.3203125,0.014219549484550953
26,-93661.9921875,-93662.0,0.01830643229186535,-100095.8515625,-100095.875,0.019864212721586227
27,-67254.2265625,-67254.2578125,0.026667635887861252,-62893.140625,-62893.16015625,0.023168282583355904
28,-70146.8203125,-70146.84375,0.01733483001589775,-60278.06640625,-60278.08984375,0.016299912706017494
29,-80799.4453125,-80799.453125,0.015498599037528038,-97445.515625,-97445.53125,0.013857046142220497
30,-98155.6953125,-98155.7109375,0.018396010622382164,-103656.3125,-103656.3359375,0.020905068144202232
31,-84957.1953125,-84957.21875,0.02925887517631054,-16051.59765625,-16051.6318359375,0.03361334651708603
32,-37318.25390625,-37318.29296875,0.046467818319797516,-37935.06640625,-37935.11328125,0.0387473925948143
33,-46642.890625,-46642.9375,0.040090423077344894,-62679.2890625,-62679.3203125,0.03789824992418289
34,-72574.8203125,-72574.8671875,0.03630679100751877,-79870.4453125,-79870.46875,0.03330492228269577
35,-91457.5,-91457.53125,0.037825360894203186,-99292.609375,-99292.6484375,0.03914012759923935
36,-82230.96875,-82231.0,0.0480525977909565,-56552.9296875,-56552.98046875,0.04917542636394501
37,-74890.734375,-74890.765625,0.03952023386955261,-80412.4921875,-80412.53125,0.028017517179250717
38,-86418.625,-86418.640625,0.025168610736727715,-97589.875,-97589.8984375,0.021424751728773117
39,-101107.265625,-101107.28125,0.024016184732317924,-104228.9453125,-104228.9765625,0.025532806292176247
